language,family
Abenaki,Algic
Abipón,Guaicuruan
Abáachi Mizaa (Jicarilla),Athabaskan-Eyak-Tlingit
Acaxee,Not found
Achagua,Arawakan
Achires,Not found
Achuar,Chicham
Achumawi,Palaihnihan
Aché,Tupian
Achí,Mayan
Acolapissa,Not found
Adai,Unknown
Adithinngithigh,Pama-Nyungan
Agu Aloja,Not found
Agwarmin,Not found
Ahtna,Athabaskan-Eyak-Tlingit
Aikaná,Unknown
Ainu Itak,Ainu
Ais,Pidgin
Aivilimmiutut,Not found
Akawayo,Cariban
Akkala Sámi,Uralic
Akokisa,Not found
Akuntsu,Tupian
Akuugun,Not found
Akuáwa,Not found
Akwê Xerente,Nuclear-Macro-Je
Alabama,Muskogean
Alawa,Mangarrayi-Maran
Alngith,Pama-Nyungan
Alsea,Unknown
Alutiiq (Sugpiaq),Eskimo-Aleut
Alyawarre,Pama-Nyungan
Amahuaca,Pano-Tacanan
Amamalya Ayakwa,Not found
Amanayé,Tupian
Amangu,Pama-Nyungan
Amarak,Iwaidjan Proper
Amuzgo,Otomanguean
Anambé,Tupian
Andegerebenha,Pama-Nyungan
Andjingith,Not found
Andoque,Unknown
Andwa – Shimigae,Zaparoan
Andyamathanha,Not found
Anggamudi,Not found
Anguthimri,Pama-Nyungan
Anishinaabemowin,Algic
Anmatyerre,Pama-Nyungan
Antakarinja,Pama-Nyungan
Aonik o Ayen,Atlantic-Congo
Apaitsiiso,Not found
Apalachee,Muskogean
Apalai,Cariban
Apanyekrá,Not found
Apiaká,Tupian
Apinayé,Nuclear-Macro-Je
Apurinã,Arawakan
Arabana,Pama-Nyungan
Arabela,Zaparoan
Araona,Pano-Tacanan
Araweté,Tupian
Arikapú,Nuclear-Macro-Je
Arikara,Caddoan
Arraythinngith,Not found
Arrernte,Pama-Nyungan
Aruá,Arawan
Ashaninka,Arawakan
Asheninka,Not found
Assiniboin,Siouan
Asurini do Xingu,Tupian
Asuriní,Tupian
Atakapa,Unknown
Atampaya,Pama-Nyungan
Atikamekw Nehiromowin (Cri),Indo-European
Atsugewi,Palaihnihan
Avañe’ẽ (Guaraní),Tupian
Avoyel,Not found
Avá,Tupian
Awabakal,Pama-Nyungan
Awajún,Chicham
Awakateka,Not found
Awapit,Barbacoan
Awaswas,Miwok-Costanoan
Aweti,Tupian
Awjilah,Afro-Asiatic
Awngthim,Not found
Awá,Tupian
Ayapathu,Pama-Nyungan
Aymara,Aymaran
Ayoreode,Not found
Ayuujk (Mixe),Mixe-Zoque
Añú,Sino-Tibetan
A’ingae,Unknown
A’uwẽ Xavante,Nuclear-Macro-Je
Badimaya,Pama-Nyungan
Badtjala,Not found
Bahtssal (Eastern Pomo),Pomoan
Baiyungu,Pama-Nyungan
Bakairi,Cariban
Bakanh,Pama-Nyungan
Ballardong,Not found
Banawá,Bookkeeping
Bandjalang,Pama-Nyungan
Bandjigali,Bookkeeping
Banggarla,Pama-Nyungan
Baniwa,Arawakan
Banjima,Pama-Nyungan
Baraba Baraba,Turkic
Baradha,Not found
Barasana,Tucanoan
Barbareño,Chumashan
Bardi,Nyulnyulan
Barindji,Bookkeeping
Barkindji,Bookkeeping
Barna,Not found
Barranbinya,Pama-Nyungan
Barundji,Pama-Nyungan
Barunggam,Not found
Bará,Kakua-Nukak
Baré,Arawakan
Barí Ara,South Omotic
Bats’ik’op (Tzotzil),Mayan
Bats’ik’op (de los Altos),Not found
Bats’ik’op (del centro),Uto-Aztecan
Bats’ik’op (del este alto),Not found
Bats’ik’op (del este bajo),Otomanguean
Bats’ik’op (del noroeste),Otomanguean
Bats’ik’op (del norte alto),Not found
Bats’ik’op (del norte bajo),Not found
Bats’ilk’op (Tzeltal),Mayan
Bats’ilk’op (del norte),Uto-Aztecan
Bats’ilk’op (del occidente),Not found
Bats’ilk’op (del oriente),Otomanguean
Bats’ilk’op (del sur),Uto-Aztecan
Baure,Arawakan
Bay Miwok,Miwok-Costanoan
Bayagoula,Not found
Bayali,Pama-Nyungan
Bibbulman,Not found
Bidai,Unclassifiable
Bidjara,Not found
Bidwell,Not found
Bigambul,Pama-Nyungan
Bilinara,Pama-Nyungan
Biloxi,Siouan
Binbinga,Not found
Bindal,Pama-Nyungan
Bindjali,Not found
Biri,Pama-Nyungan
Birihnbal,Not found
Biripi,Not found
Birria,Pama-Nyungan
Blackfoot,Algic
Bodwéwadmimwen,Not found
Boe Wadáru,Not found
Boonwurrung,Not found
Bora,Boran
Borum,Nuclear-Macro-Je
Boto,Chibchan
BotꞋuna (Matlatzinca),Otomanguean
Bribri,Chibchan
Brún̈cajc,Not found
Buandig,Pama-Nyungan
Budjari,Pama-Nyungan
Buglere,Chibchan
Bukurnidja,Not found
Bularnu,Pama-Nyungan
Bundjalung,Not found
Bunuba,Bunaban
Burarra,Maningrida
Báxoje ich’é (Iowa),Kiowa-Tanoan
Bésiro (Chiquitano),Chiquitano
B’a’aj/Qyool (de Tectitán),Not found
CHamoru,Austronesian
Cabécar,Chibchan
Caddo,Caddoan
Cahita,Uto-Aztecan
Cahto,Athabaskan-Eyak-Tlingit
Calusa,Unclassifiable
Cape Fear,Indo-European
Caquetío,Not found
Carrizo/Comecrudo,Not found
Cashinahua,Pano-Tacanan
Catawba,Siouan
Cavineña,Pano-Tacanan
Caxcan,Not found
Cayubaba,Unknown
Cayuga,Iroquoian
Cayuse,Unknown
Central Anishinaabe (Ojibwa),Algic
Central Pomo,Pomoan
Central Sierra Miwok,Miwok-Costanoan
Central Yup’ik,Not found
Chakchiuma,Not found
Chalon,Miwok-Costanoan
Chamikuro,Arawakan
Chanka Runa Simi (Quechua Chanka),Not found
Chané,Arawakan
Charrúas,Not found
Chatot,Not found
Chawanoc,Not found
Chawasha,Not found
Cha’ jna’a (Chatino),Otomanguean
Cha’fiki,Not found
Cha’palaa,Barbacoan
Che Süngun,Not found
Chehalis,Salishan
Chemakum,Not found
Cheroenhaka (Nottoway),Iroquoian
Chesapeake,Not found
"Chetco, Tolowa",Athabaskan-Eyak-Tlingit
Chiapaneco,Otomanguean
Chickasaw,Muskogean
Chilula,Athabaskan-Eyak-Tlingit
Chimariko,Unknown
Chinanteco,Not found
Chinuk Wawa,Chinookan
Chipaya,Uru-Chipaya
Chiricahua,Athabaskan-Eyak-Tlingit
Chiriguano,Tupian
Chitimacha,Unknown
Chochenyo,Miwok-Costanoan
Choctaw,Muskogean
Chontal,Tequistlatecan
Chontal de Guerrero – Tuxteco,Not found
Chorotega,Bookkeeping
Chumash,Bookkeeping
Chákobo,Unattested
Ch’orti’,Not found
Cibecue,Not found
