language,family
Coahuilteco,Unknown
Coast Miwok,Miwok-Costanoan
Coast Yuki,Not found
Coca,Uto-Aztecan
Cocopah (Xawiƚƚ kwñchawaay),Not found
Coeur d’Alene,Salishan
Colla,Quechuan
Columbia,Salishan
Concho,Unclassifiable
Congaree,Not found
Conoy,Algic
Coos,Coosan
"Coquille, Umpqua, Chetco, Tolowa, Tututni",Not found
Coree,Not found
Cowlitz,Salishan
Coyutecos (Nahuatl),Not found
Crow,Siouan
Cruzeño,Chumashan
Cuitlatec,Unknown
Cusabo,Unclassifiable
Dadi Dadi,Not found
Dainggatti,Pama-Nyungan
Dakelh (ᑕᗸᒡ),Not found
Dakhóta (Eastern Dakota),Not found
Dakȟóta (Western Dakota),Not found
Damana,Chibchan
Danezaa ZaageɁ ᑕᓀᖚ ᖚᗀᐥ (Beaver),Not found
Danezāgé’,Not found
Dangbon,Gunwinyguan
Danggali,Pama-Nyungan
Darkinung,Pama-Nyungan
Darumbal,Pama-Nyungan
Deg Xinag,Athabaskan-Eyak-Tlingit
Den k’e,Not found
Dena’ina,Athabaskan-Eyak-Tlingit
Dene K’e,Not found
Dene Zágéʼ (Kaska),Not found
Dení,Arawan
Desano,Tucanoan
Dhalun-Dhirr,Not found
Dharawala,Not found
Dharug,Pama-Nyungan
Dhirari,Pama-Nyungan
Dhurga,Pama-Nyungan
Dibaku (Cuicateco),Not found
Dieri,Pama-Nyungan
Diitiidʔaatx̣,Not found
Dilzhę́’é (North),Not found
Dilzhę́’é (South),Not found
Dinjii Zhu’ Ginjik (Gwich’in),Not found
Diné Bizaad,Athabaskan-Eyak-Tlingit
Djabuganjdji,Not found
Djabwurung,Not found
Djadjawurrung,Not found
Djargurdwurung,Not found
Djawi,Nyulnyulan
Djeoromitxí,Nuclear-Macro-Je
Djirbalngan,Not found
Doolboong/Miriwoong,Not found
Dunanmunai,Not found
Dâw,Naduhup
Dän kʼè (S Tutchone),Not found
Dän kʼí (N Tutchone),Not found
Dëne Sųłı̨né Yatıé (Chipewyan),Not found
Eastern Keres,Keresan
Eastern Swampy Cree,Algic
Eduúria,Not found
Eibole,Not found
Emérillon,Bookkeeping
Enawenê-nawê,Arawakan
Enenlhet,Bookkeeping
Enlhet,Not found
Eno,Not found
Enxet,Not found
Eora,Pama-Nyungan
Erie,Unclassifiable
Erub,Eastern Trans-Fly
Ese Eja,Pano-Tacanan
Esselen,Unknown
Ette Taara,Chibchan
Eyak,Athabaskan-Eyak-Tlingit
Eyeri,Not found
E’ñepá,Not found
Flinders Island,Pama-Nyungan
Fox,Algic
Gabalbara,Not found
Gadubanud,Not found
Gagudju,Unknown
Galibal,Not found
Gamberre,Worrorran
Gananggalinda,Not found
Ganggalida,Tangkic
Gangulu,Pama-Nyungan
Garawa,Garrwan
Garingbal,Pama-Nyungan
Garífuna,Arawakan
Gathang,Not found
Gayardilt,Tangkic
Gayiri,Not found
Geawegal,Pama-Nyungan
Ghadames,Afro-Asiatic
Giraiwurung,Not found
Gitsenimx̱,Tsimshian
Giya,Pama-Nyungan
Gooniyandi,Bunaban
Goreng,Not found
Grigra,Not found
Gros Ventre,Algic
Guajiba,Not found
Guale,Unattested
Guamares,Not found
Guanahatabey,Not found
Guanche,Afro-Asiatic
Guane,Not found
Guaná,Lengua-Mascoy
Guarayu,Tupian
Guarijío,Uto-Aztecan
Guasaves/Tamazulas,Not found
Guató,Unknown
Guaycura,Not found
Guaycurú,Not found
Gubbi Gubbi,Pama-Nyungan
Gudang,Pama-Nyungan
Guenoa-Minuanes,Not found
Gugu-Badhun,Pama-Nyungan
Gulidjan,Not found
Gumbaynggirr,Pama-Nyungan
Gunagaya / Gunagagga | Dulegaya / Dulegagga,Not found
Gunbalang,Gunwinyguan
Gundara,Pama-Nyungan
Gunditjmara,Pama-Nyungan
Gundungurra,Not found
Gungabula,Pama-Nyungan
Gunggari,Pama-Nyungan
Gungurugoni,Maningrida
Gunibidji,Maningrida
Gunindiri,Not found
Gunu,Atlantic-Congo
Gunwinggu,Giimbiyu
Gureng Gureng,Pama-Nyungan
Gurindji,Pama-Nyungan
Guringai,Not found
Guugu Diirrurru,Not found
Guugu Nyalaadyi,Not found
Guugu Nyiiguudyi,Not found
Guugu Yinaa,Not found
Guugu-Yimidhirr,Pama-Nyungan
Guwa,Pama-Nyungan
Guwinmal,Not found
Günün a Yajüch,Not found
Hailhzaqvla,Not found
Halchiohoma,Not found
Han,Athabaskan-Eyak-Tlingit
Hantõ Jasõng,Not found
Harakbut,Not found
Havasupai,Cochimi-Yuman
Henîa-Kamiare,Not found
Hidatsa,Siouan
Hinónoʼeitíít (Arapaho),Not found
Hitnü,Guahiboan
Hiwatahia Taíno,Not found
Hixkaryana,Cariban
Hoailona ʻŌlelo o Hawaiʻi (Hawai’i Sign Language),Not found
Hokana,Not found
Holikachuk,Athabaskan-Eyak-Tlingit
Hoocąk (Ho-Chunk),Not found
Hopilavayi,Not found
Hoti,Unknown
Houma,Not found
Huasteca Nahuatl,Not found
Huetar,Chibchan
Hul’q’umi’num’ / Halq’eméylem / hən̓q̓əmin̓əm̓,Not found
Hupa,Athabaskan-Eyak-Tlingit
Hupda,Naduhup
Háusi Kúta,Unknown
Hñähñu (Otomí),Not found
Ichishkiin,Not found
Igbo,Atlantic-Congo
Ika,Atlantic-Congo
Ikolen,Not found
Ikpeng,Cariban
Ikíitu,Not found
Illinois,Algic
Inari Sámi,Not found
Inga,Quechuan
Iningai,Not found
Injinoo Ikya (Uradhi),Not found
Inland Łingít,Not found
Innu-aimun (Central Montagnais),Not found
Innu-aimun (Mani-Utenam),Not found
Innu-aimun (Mashkuannu),Not found
Innu-aimun (Montagnais-Est),Not found
Innu-aimun (Mushuau),Not found
Innu-aimun (Nehlueun),Not found
Innu-aimun (Sheshatshiu),Not found
